,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
89775,284.42853887528463,9.697904284198561,42.28135492182825,3.02609315550244,9.496267267555993,0.04741616227764852,19.231884278818093,0.06903708829215684,-20.654226624489702,0.07003207435846531,-0.22654197,0.14426032,-0.10458529,,,9.177463000000001,9.46027,8.774903,0.05021839636860888,0.45420606862407564,0.8908966535042443
90321,285.19284854613295,4.599339626528156,38.08809892015742,0.02556182552607598,9.744862730581834,0.107919669688968,31.91017723981966,0.13696416590024274,-8.689366194695003,0.11084363989030208,-0.49935782,0.11325481,0.052555315,,,9.182808999999999,9.526208,8.718387,0.03975306420582243,0.45742103284583674,0.8892502452685904
92232,296.5385043224437,-4.184864204062365,35.44895033888787,-14.074344884625685,9.677340520384751,0.3186097133415126,5.281961550806667,0.5205263552721189,-49.34967711735256,0.3733732147941005,-0.40394163,-0.28314429999999996,0.12139361,8.926258811649038,0.6594806810958954,9.200579,9.578234,8.688313,0.11548773756881846,0.4530081368428439,0.8915063813311574
93764,283.8887502908412,-27.51706813670457,8.441797620602086,-12.993988316182824,9.491027685053956,0.13885298866607776,12.436986581047616,0.2527494013913961,-1.5097375812896645,0.21128496912551015,0.02235872,-0.106783725,-0.07409482,,,9.213858,9.560444,8.714234,0.031097650885586865,0.4074468200225351,0.9132289356199375
94844,295.21103714405035,-7.634566786902119,31.656006217950573,-14.434244781208882,9.680951144041748,0.07210171346229828,-73.92804514690168,0.09407799378225283,-82.31377820896628,0.07266223826172777,-0.19420314,-0.21713871,-0.21991247,,,9.22362,9.5500965,8.767103,0.11616161013193849,0.4405557659777892,0.8977252458651943
95621,288.09191282854863,-9.271120910084571,26.98710980410536,-8.833596698226637,9.583263533158107,0.04747691020442398,2.0642102517332312,0.092388144171671,-16.047080981348135,0.09323119859893296,-0.06337772,0.18760242,0.39491922,-3.7795474090945542,1.2481723711863772,9.231145,9.553328500000001,8.795166,0.09152242308835025,0.4421964139627681,0.8969182412452477
96836,284.00161901894717,6.345461354606187,39.10055543086964,1.8776565293636216,9.257245459642137,0.048166766042855434,21.548109256234845,0.06908460705098418,-110.08006876765276,0.0710126638173549,-0.29288775,0.091175,-0.065503314,8.808775966608161,1.1779345995331003,9.242466,9.561607,8.8017,0.050099189674768244,0.4553954095140729,0.8902892906204757
98496,269.4739267827149,-25.430059095186333,4.408033014821586,-0.5575897784035173,9.458231557851366,0.09876724156722938,50.41654402385658,0.17631210140733178,-12.779974981888365,0.14530008458010935,-0.23443949,0.20822044,-0.021203967,,,9.257699,9.556911,8.834719,0.022618769842922853,0.5003003584418748,0.8658519222955687
98845,283.92456814305564,-13.056097982621582,21.735177664551028,-6.841585417293806,9.442675858138553,0.05644044638416437,46.036130128670905,0.09494346152471857,-0.10102790368120117,0.08530485025229619,-0.29758018,0.16691178,0.11238897,,,9.26089,9.586117,8.81127,0.101785778185323,0.4436179525245164,0.8962159963970494
100026,296.60578873896355,-24.878315733802967,15.534494971533801,-22.562192753598342,9.17375085301991,0.09578214803216364,22.898701242896045,0.44509399427713386,-5.524125842049618,0.5851215539576919,-0.26408365,-0.11883839,0.96118605,-6.0417888223601866,0.2193765677897508,9.271604,8.10865,7.571332000000001,0.021501884135524865,0.35161226490128394,0.9361457232562618
