,ra,dec,l,b,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,radial_velocity,radial_velocity_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,dust_correction,transf_pm_coeffA,transf_pm_coeffB
170230,58.20525183315604,59.399415957861564,144.22359974945368,4.247639441681047,4.955066799631885,0.04223209459165934,-1.6685651643395274,0.05709881213320999,-9.11270892812412,0.05407340473511265,0.040747043,0.33699733,0.20244561,-0.05908718721975425,0.4110176250758373,9.791658,10.268395,9.182608,0.18209995789067787,0.7726380906747138,-0.6348467380703258
170373,52.18613627561326,62.59767623473496,139.957910073955,5.047023296643,4.817315514467664,0.0305182156316116,-10.839589060049546,0.0473640545529576,-5.09152636253576,0.048807289634627285,-0.0013401848000000002,0.08399316,0.21512419,,,9.792534,10.040632,9.405973,0.1567608166759771,0.8242561445350932,-0.5662171034118835
170390,48.50361693987495,65.85726292900694,136.82401186335932,6.908315926701901,4.7381448428006605,0.029030354212148595,-3.1831682506240924,0.030170627314056543,-25.179921141596175,0.044488318320004536,0.0842637,0.19182484,-0.093022324,-0.4311940079386032,0.2744288168173307,9.792622,10.009748,9.461214,0.15581097605844016,0.8526805077756855,-0.522432724529579
175096,41.03030333967375,40.908044096417925,144.85338375346433,-17.11817172761212,4.695962149847212,0.07880752205181409,17.573257529095685,0.09927387533539862,-25.41800717429892,0.0977888746947688,0.11817207,0.13345093,0.41520625,,,9.822023,10.096502000000001,9.429339,0.10812288469835768,0.8981734288559086,-0.43964132164438335
176324,30.945285475069674,43.36157792680746,136.62710760669412,-17.578071513517123,4.632400309742385,0.05756969212057138,40.374913316484594,0.09263272785105917,-13.060994295864107,0.07748411989513983,-0.057130974,0.04846943,-0.018418191,29.30131649783898,0.4567162685033227,9.82945,10.111858,9.419903,0.1152944312082786,0.9570806948422427,-0.2898215719374422
178599,38.58196526065783,40.29146658802142,143.35904777517246,-18.46395620326609,4.636803241239121,0.06827650130814601,6.663332474142272,0.08433704460741802,-12.270863776332938,0.08039427614071036,0.08449853,0.14366259,0.32247347,4.2309476950417455,1.6973167846661772,9.843354,10.054488000000001,9.512482,0.09665263016620954,0.9133260859189735,-0.40722900287175995
180858,46.52891738532843,65.73696739813533,136.1844271791233,6.3923408641251545,4.653002093335713,0.034368538874266094,57.65730067013829,0.028386238689192014,-4.2256835291062185,0.05085174109075029,-0.041886766,0.4102761,-0.23599988,,,9.856488,10.158341,9.4180765,0.17361643128581594,0.868038599961878,-0.49649671597727857
182109,98.01195701337593,59.889586154479076,155.2810093033041,20.89914565038942,4.517811592461852,0.04158770150782713,15.035925640281226,0.04988829959112245,-26.358693775794826,0.050322244751620775,0.36633974,-0.13326637,0.33171898,,,9.864008,10.115801,9.487761,0.114796871361252,0.31450300053634167,-0.9492564788578679
183841,30.374689907264475,41.08695480570429,136.88979515242434,-19.878177248751182,4.6554509571225715,0.03943583626618583,-4.02799267175324,0.07992967573105285,-28.45586828601018,0.08679836348970528,0.03718546,0.026993344,0.2663943,-61.4078495359618,0.5273406247626253,9.873942,10.162533999999999,9.456468,0.09100874674309208,0.9585809785386769,-0.28482013198478917
184876,59.728421049668334,61.201142053138256,143.63816990560508,6.111860765002753,4.775399530053904,0.034774988266619684,-24.73441635324157,0.044721442129037565,12.267303795552658,0.046007261893247935,-0.02156121,0.29574570000000006,0.06491817,,,9.879825,10.128952,9.504342999999999,0.12339584371387713,0.7571690843045099,-0.6532189355594875
